Name: “Table 1 of 1 on page 33 of 35”,Name: “Table 1 of 1 on page 33 of 35”,Name: “Table 1 of 1 on page 33 of 35”,Name: “Table 1 of 1 on page 33 of 35”,Name: “Table 1 of 1 on page 33 of 35”,Name: “Table 1 of 1 on page 33 of 35”,Name: “Table 1 of 1 on page 33 of 35”,Name: “Table 1 of 1 on page 33 of 35”,Name: “Table 1 of 1 on page 33 of 35”,Name: “Table 1 of 1 on page 33 of 35”
Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33
,,,,,,,,,
Chapter IO-3,Chapter IO-3,,,,,,,Method IO-3.5,Method IO-3.5
Chemical Analysis,Chemical Analysis,,,,,,ICP/MS Methodology,ICP/MS Methodology,ICP/MS Methodology
,,TABLE 7. PRECISION AND RECOVERY DATA (continued),TABLE 7. PRECISION AND RECOVERY DATA (continued),TABLE 7. PRECISION AND RECOVERY DATA (continued),TABLE 7. PRECISION AND RECOVERY DATA (continued),TABLE 7. PRECISION AND RECOVERY DATA (continued),TABLE 7. PRECISION AND RECOVERY DATA (continued),,
,,,NBS 1645 RIVER SEDIMENT,NBS 1645 RIVER SEDIMENT,NBS 1645 RIVER SEDIMENT,NBS 1645 RIVER SEDIMENT,,,
,Sample,Low,Average,,,High,Average,,
,Concn.,Spike,Recovery,,,Spike,Recovery,,
Element,(μg/L),(μg/L),R (%),S(R),RPD,(μg/L),R (%),S(R),RPD
Al,5060,20,*,*,-,100,*,*,-
Sb,21.8,20,73.9,6.5,9.3,100,81.2,1.5,3.9
As,67.2,20,104.3,13.0,7.6,100,107.3,2.1,2.9
Ba,54.4,20,105.6,4.9,2.8,100,98.6,2.2,3.9
Be,0.59,20,88.8,0.2,0.5,100,87.9,0.1,0.2
Cd,8.3,20,92.9,0.4,0.0,100,95.7,1.4,3.9
Cr,29100,20,*,*,-,100,*,*,-
Co,7.9,20,97.6,1.3,2.6,100,103.1,0.0,0.0
Cu,112,20,121.0,9.1,1.5,100,105.2,2.2,1.8
Pb,742,20,*,*,-,100,-,-,-
Mn,717,20,*,*,-,100,-,-,-
Mo,17.1,20,89.8,8.1,12.0,100,98.4,0.7,0.9
Ni,41.8,20,103.7,6.5,4.8,100,102.2,0.8,0.0
Se,"
    ",20,108.3,14.3,37.4,100,93.9,5.0,15.1
Ag,1.8,20,94.8,1.6,4.3,100,96.2,0.7,1.9
Tl,1.2,20,91.2,1.3,3.6,100,94.4,0.4,1.3
Th,0.90,20,91.3,0.9,2.6,100,92.3,0.9,2.8
U,0.79,20,95.6,1.8,5.0,100,98.5,1.2,3.5
V,21.8,20,91.8,4.6,5.7,100,100.7,0.6,0.8
Zn,1780,20,*,*,-,100,*,*,-
S(R),Standard deviation of percent recovery.,Standard deviation of percent recovery.,Standard deviation of percent recovery.,,,,,,
RPD,Relative percent difference between duplicate spike determinations.,Relative percent difference between duplicate spike determinations.,Relative percent difference between duplicate spike determinations.,Relative percent difference between duplicate spike determinations.,Relative percent difference between duplicate spike determinations.,Relative percent difference between duplicate spike determinations.,,,
"
    ",Sample concentration below established method detection limit.,Sample concentration below established method detection limit.,Sample concentration below established method detection limit.,Sample concentration below established method detection limit.,Sample concentration below established method detection limit.,,,,
*,"Spike concentration 
    ","Spike concentration 
    ","Spike concentration 
    ","Spike concentration 
    ","Spike concentration 
    ",,,,
-,Not determined.,,,,,,,,
+,Equivalent.,,,,,,,,
June 1999,,Compendium of Methods for Inorganic Air Pollutants,Compendium of Methods for Inorganic Air Pollutants,Compendium of Methods for Inorganic Air Pollutants,Compendium of Methods for Inorganic Air Pollutants,Compendium of Methods for Inorganic Air Pollutants,Compendium of Methods for Inorganic Air Pollutants,,Page 3.5-29
