Name: “Table 1 of 1 on page 34 of 35”,Name: “Table 1 of 1 on page 34 of 35”,Name: “Table 1 of 1 on page 34 of 35”,Name: “Table 1 of 1 on page 34 of 35”,Name: “Table 1 of 1 on page 34 of 35”,Name: “Table 1 of 1 on page 34 of 35”,Name: “Table 1 of 1 on page 34 of 35”,Name: “Table 1 of 1 on page 34 of 35”,Name: “Table 1 of 1 on page 34 of 35”,Name: “Table 1 of 1 on page 34 of 35”
Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34
,,,,,,,,,
Method IO-3.5,Method IO-3.5,,,,,,,Chapter IO-3,Chapter IO-3
ICP/MS Methodology,ICP/MS Methodology,,,,,,Chemical Analysis,Chemical Analysis,Chemical Analysis
,TABLE 7. PRECISION AND RECOVERY DATA (continued),TABLE 7. PRECISION AND RECOVERY DATA (continued),TABLE 7. PRECISION AND RECOVERY DATA (continued),TABLE 7. PRECISION AND RECOVERY DATA (continued),TABLE 7. PRECISION AND RECOVERY DATA (continued),TABLE 7. PRECISION AND RECOVERY DATA (continued),TABLE 7. PRECISION AND RECOVERY DATA (continued),,
,,,EPA ELECTROPLATING SLUDGE #286,EPA ELECTROPLATING SLUDGE #286,EPA ELECTROPLATING SLUDGE #286,EPA ELECTROPLATING SLUDGE #286,,,
,Sample,Low,Average,,,High,Average,,
,Concn.,Spike,Recovery,,,Spike,Recovery,,
Element,(μg/L),(μg/L),R (%),S(R),RPD,(μg/L),R (%),S(R),RPD
Al,5110,20,*,*,-,100,*,*,-
Sb,8.4,20,55.4,1.5,4.1,100,61.0,0.2,0.9
As,41.8,20,91.0,2.3,1.7,100,94.2,0.8,1.5
Ba,27.3,20,1.8,7.1,8.3,100,0,1.5,10.0
Be,0.25,20,92.0,0.9,2.7,100,93.4,0.3,0.9
Cd,112,20,85.0,5.2,1.6,100,88.5,0.8,0.5
Cr,7980,20,*,*,-,100,*,*,-
Co,4.1,20,89.2,1.8,4.6,100,88.7,1.5,4.6
Cu,740,20,*,*,6.0,100,61.7,20.4,5.4
Pb,1480,20,*,*,-,100,*,*,-
Mn,295,20,*,*,-,100,-,-,-
Mo,13.3,20,82.9,1.2,1.3,100,89.2,0.4,1.0
Ni,450,20,*,*,6.8,100,83.0,10.0,4.5
Se,3.5,20,89.7,3.7,4.2,100,91.0,6.0,18.0
Ag,5.9,20,89.8,2.1,4.6,100,85.1,0.4,1.1
Tl,1.9,20,96.9,0.9,2.4,100,98.9,0.9,2.4
Th,3.6,20,91.5,1.3,3.2,100,97.4,0.7,2.0
U,2.4,20,107.7,2.0,4.6,100,109.6,0.7,1.8
V,21.1,20,105.6,1.8,2.1,100,97.4,1.1,2.5
Zn,13300,20,*,*,-,100,*,*,-
S(R),Standard deviation of percent recovery.,Standard deviation of percent recovery.,Standard deviation of percent recovery.,,,,,,
RPD,Relative percent difference between duplicate spike determinations.,Relative percent difference between duplicate spike determinations.,Relative percent difference between duplicate spike determinations.,Relative percent difference between duplicate spike determinations.,Relative percent difference between duplicate spike determinations.,Relative percent difference between duplicate spike determinations.,,,
"
    ",Sample concentration below established method detection limit.,Sample concentration below established method detection limit.,Sample concentration below established method detection limit.,Sample concentration below established method detection limit.,Sample concentration below established method detection limit.,,,,
*,"Spike concentration 
    ","Spike concentration 
    ","Spike concentration 
    ","Spike concentration 
    ","Spike concentration 
    ",,,,
-,Not determined.,,,,,,,,
+,Equivalent.,,,,,,,,
Page 3.5-30,Page 3.5-30,Compendium of Methods for Inorganic Air Pollutants,Compendium of Methods for Inorganic Air Pollutants,Compendium of Methods for Inorganic Air Pollutants,Compendium of Methods for Inorganic Air Pollutants,Compendium of Methods for Inorganic Air Pollutants,Compendium of Methods for Inorganic Air Pollutants,,June 1999
