Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”
Table: 44,Table: 44,Table: 44,Table: 44
,,,
Method IO-4.2,Method IO-4.2,,Chapter IO-4
Acidic/Basic Constituents,Acidic/Basic Constituents,,Atmospheric Acidic
TABLE 2. ACCELERATOR JET DIAMETERS AND CORRESPONDING REYNOLDS,TABLE 2. ACCELERATOR JET DIAMETERS AND CORRESPONDING REYNOLDS,TABLE 2. ACCELERATOR JET DIAMETERS AND CORRESPONDING REYNOLDS,TABLE 2. ACCELERATOR JET DIAMETERS AND CORRESPONDING REYNOLDS
NUMBER (RE) FOR SELECTED FLOW RATES TO OBTAIN 2.5 μm DIAMETER,NUMBER (RE) FOR SELECTED FLOW RATES TO OBTAIN 2.5 μm DIAMETER,NUMBER (RE) FOR SELECTED FLOW RATES TO OBTAIN 2.5 μm DIAMETER,NUMBER (RE) FOR SELECTED FLOW RATES TO OBTAIN 2.5 μm DIAMETER
,,(AERODYNAMIC) PARTICLES SEPARATION,
,"Flow rate,",,
,L/min,"Jet diameter, mm",Reynolds number (RE)
,1.0,1.55,900
,2.0,1.97,"1,400"
,5.0,2.65,"2,700"
,10.0,3.33,"4,200"
,12.0,3.55,"4,700"
,15.0,3.85,"5,500"
,16.7,4.00,"6,000"
,20.0,4.25,"6,600"
Page 4.2-40,Compendium of Methods for Inorganic Air Pollutants,Compendium of Methods for Inorganic Air Pollutants,June 1999
